,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,下载地址
736,合作学习视角下思维导图在高中数学习题教学中的应用研究,杨力炜,福建师范大学,硕士,2020年,,16,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0TS3t0arx0aEJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
737,高中数学必修教材“不等式”内容的比较研究,张小吉,福建师范大学,硕士,2020年,,13,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0TQ0ZWVYtmbLJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
738,基于ACT-R理论的高中数学复习课教学研究,洪郭育,福建师范大学,硕士,2020年,,15,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0zdjlGTYd3aLJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
739,基于Zoom平台的初中数学直播课教学设计研究,易文静,福建师范大学,硕士,2020年,,5,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0DOMZmS1p2aLJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
740,过程性变式在高中函数教学中的应用,郑少清,福建师范大学,硕士,2020年,,7,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0zbYZDcw5meFZnbrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
741,融入数学史的高考数学试题研究,周奕灵,福建师范大学,硕士,2020年,,20,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0TRWhzMwlVbEJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
742,基于支架理论的高中函数教学研究,李思敏,福建师范大学,硕士,2020年,,7,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0TWU12MidEbLJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
743,高中视角下的初中几何教学衔接研究,王妍蓉,福建师范大学,硕士,2020年,,7,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0zdSFHbvR0UoJ1ZrgmSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
744,基于数据分析素养下的高中统计数学研究,周涛,中央民族大学,硕士,2020年,,128,下载,https://kns.cnki.net//kns8/download?filename=rp2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXeIZnTMBnWnVlNJRFSygEc412LTB3cyZHdBF2SrYkar9EcFJlYMh0QiZTU2p3NspENrVlRqF3M5I3VFR1Q&tablename=CMFD202101
745,高中生数学学习投入与学业成就关系的研究,董草,南京师范大学,硕士,2020年,1,139,下载,https://kns.cnki.net//kns8/download?filename=rp2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXeGNTY1ljUpBHerVGeKlDdKJUeChWOCRnWTdTaElkar9EcFJlYMh0QiZTU2p3NspENrVlRqF3M5I3VFR1Q&tablename=CMFD202101
746,小学数学“深度学习”教学优化策略研究,罗碧云,福建师范大学,硕士,2020年,,22,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0TUEN2QlFVdWl2cX5mSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
747,中小学数学“图形与几何”教学衔接探究,高雪苗,福建师范大学,硕士,2020年,,13,下载,https://kns.cnki.net//kns8/download?filename=2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe=0DNiJ3NiJHdWl2cX5mSPZ0VvUHR11UMMl0KoFWVahFVMNHdvIlT1p3NspENrVlRqF3M5I3VFR1Qrp&tablename=CMFDTEMP
748,基于ARCS动机模型的微课设计在初中数学教学中的应用研究,刘梦,中央民族大学,硕士,2020年,,174,下载,https://kns.cnki.net//kns8/download?filename=qF3M5I3VFR1Qrp2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe==QNRtkTsFVMZtyRnJTSxcWMRRlcvFkYpJ1KRFVc65WQkRkNpdmRONWd1F2R1Zkar9EcFJlYMh0QiZTU2p3NspENrVlR&tablename=CMFD202101
749,职前数学教师对信息技术融入课堂教学的观念研究,关晗,中央民族大学,硕士,2020年,,115,下载,https://kns.cnki.net//kns8/download?filename=qF3M5I3VFR1Qrp2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXe==gdxUkNwFESiVHZn9WT0I1LYRlcvFkYpJ1KRFVc65WQkRkNpdmRONWd1F2R1Zkar9EcFJlYMh0QiZTU2p3NspENrVlR&tablename=CMFD202101
750,内地新疆高中班高一学生函数解题错误的实证研究,王思璎,中央民族大学,硕士,2020年,,76,下载,https://kns.cnki.net//kns8/download?filename=rp2N0olSyUTUBlzQxZDTuBHOOFWNNJFSyREODxWNxsGavE2cjNjQEdWZyRFWZJFaYZ2LB90cWl2VxhXeth0K2h2dwZ3dZVFa4clc412LTB3cyZHdBF2SrYkar9EcFJlYMh0QiZTU2p3NspENrVlRqF3M5I3VFR1Q&tablename=CMFD202101

751,思维模式与数学学业成绩的关系研究,朱安琪,中央民族大学,硕士,2020年,,225,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQBZlYrAHd4p1LRFFa5oEaO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
752,数学史融入高中数学的教学案例研究,霍雯,中央民族大学,硕士,2020年,,405,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQWdDdEVGUKlWatp3d5oEaO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
753,成长型思维培养视角下的数学教策略分析,于波,中央民族大学,硕士,2020年,,204,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQxQkNyQkTip2YIRkROlnax8kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
754,基于DINA模型的小学生空间观念认知诊断研究,樊晓辉,中央民族大学,硕士,2020年,,173,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQuN3dXFmVnZ1NVZFMzR2ZO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
755,基于藏文化的小学数学教学案例及其实践研究,拉毛草,中央民族大学,硕士,2020年,,103,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQZpUdxV3cWVVWVdnarpEaO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
756,高中生直观想象素养的调查研究,郑薇,南京师范大学,硕士,2020年,,107,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQQRWTD10d2AlMFZGO0REZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
757,高中生概率统计典型学习困难分析,谢世才,新疆师范大学,硕士,2020年,,16,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQMVjRzN3YCpEZVFXNlp1UJRHUk10KrJFenN0clJmR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
758,基于互联网技术的初中数学差异教学实践与探索,陈茜,南京师范大学,硕士,2020年,,66,下载,https://kns.cnki.net//kns8/download?filename=3YnbaNjZIJETKZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ==Qd5QmYohDWL9mS4IWWBl0QzAFbyJDSoNmZzVXQidjcihGbCtySiNzYvpUbs1kR14GUaFVbkVDT1cGaVBjUExWaYhnV&tablename=CMFD202101
759,高一学生自我监控能力、数学抽象能力和数学学业成绩的关系研究,缪婷章,南京师范大学,硕士,2020年,,114,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ1N3Kxl3V6JnbUFDO0REZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
760,高中数学章起始课的现状调查与教学设计研究,孙楚清,南京师范大学,硕士,2020年,,151,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQXVWcvl0YxA1c5IDO0REZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
761,高中数学教师课堂理答与学生期望的对比研究,刘瑀,南京师范大学,硕士,2020年,,64,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ2UkSDNXcvp3c2o3TxREZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
762,高一学生数学问题提出能力的研究,季滢,华东师范大学,硕士,2020年,,382,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQuhkez4maqdjZtR2RFZDOO5ERwNXZtRUbGVFV6tWWCBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
763,项目式学习对高一学生数据分析素养的影响研究,吴子昊,华东师范大学,硕士,2020年,,536,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ2FGOEt2c4lTatR2RFZDOO5ERwNXZtRUbGVFV6tWWCBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
764,农村初中数学教师专业成长困境及对策研究,宁耀莹,南京师范大学,硕士,2020年,,79,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQzkzYBtiY0QVUUFDO0REZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
765,高中生认知情绪调节策略、自我效能感与数学成绩的相关性研究,张泽曦,南京师范大学,硕士,2020年,,210,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQplzZVdHZSFmWFZGO0REZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
766,高中生数学元认知与数学抽象能力的关系研究,葛雯琳,南京师范大学,硕士,2020年,,243,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQWlzMZpGakhTO2o3TxREZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
767,苏科版初中数学教材习题使用情况的调查研究,蔡佳丽,南京师范大学,硕士,2020年,1,93,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQSV0NykHeoJTV0NnRxNEZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
768,数学语言转换能力的调查研究,肖雨婷,四川师范大学,硕士,2020年,1,132,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQlFDWaF1YycWdyoFTuJTO6VXdFlWYxYHO0gnR1cXQGBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
769,高中生数学逻辑推理素养的实践研究,刘娜,山西师范大学,硕士,2020年,,51,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQqVGMUBHcBFVbBVWUz4WN4VlMy8GTBxGeoVzRFRmR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202102
770,八、九年级学生直观想象素养现状调查及培养对策研究,束文清,华中师范大学,硕士,2020年,1,195,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQyI0VVVTe3pHOOVXUrgXa1tEM4p2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
771,初中数学课堂教学中如何提高学生的学习兴趣和学习效率,彭娟,西南大学,硕士,2020年,3,333,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQyATR4QEeygjVrZlTXZXcIBlW4p2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
772,初中生数学学习情绪对其学习参与的影响研究,袁晖,南京师范大学,硕士,2020年,,54,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQDdWTxRjUuBlVJ9iVxNEZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
773,基于数列的合情推理能力测试及教学研究,徐文强,四川师范大学,硕士,2020年,,58,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ5Z2aSFET69mbOB1SuJTO6VXdFlWYxYHO0gnR1cXQGBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
774,数学资优生对计数原理理解水平的调查研究,王超琼,四川师范大学,硕士,2020年,,96,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQaFmeXVkbVBjaRp2MwITO6VXdFlWYxYHO0gnR1cXQGBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
775,七年级数学学科德育教学的实践研究,贺礼,四川师范大学,硕士,2020年,,295,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQxtmR4QGO2MEbRp2MwITO6VXdFlWYxYHO0gnR1cXQGBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
776,翻转课堂教学模式下高中统计教学设计研究,吴雅楠,中央民族大学,硕士,2020年,,144,下载,https://kns.cnki.net//kns8/download?filename=3YnbaNjZIJETKZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ==gTndDTqBTcCljSCZlcSFGTHJjQZx2TWtUZLB3MNR1LshVOyZEMHhDZOtiQWtiR14GUaFVbkVDT1cGaVBjUExWaYhnV&tablename=CMFD202101
777,基于DINA模型的小学生字母表示认知诊断研究,周晴晴,中央民族大学,硕士,2020年,,105,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQuRme50GcNh0Ltp3d5oEaO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
778,元认知视角下初中几何动点问题的教学研究,李娜,新疆师范大学,硕士,2020年,,30,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ3BFOER2RDVXc0UzaopHTppFa3o0KrJFenN0clJmR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
779,第一学段小学生估算能力现状研究,黄诗慧,南京师范大学,硕士,2020年,,92,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQwYkYD1kW0YTUXZnVxNEZahTbzV2ZEFFTXx0Vn1kR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
780,初中双语学校数学课堂教学实践研究,赵惠贤,集美大学,硕士,2020年,,134,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQjxkRyoUTrU2KVtyYT5ET4V0bHlWYxYHO0gnR1cXQGBVTaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202002
781,中美高中资优生的数学课程设置的比较研究,李坤婷,中央民族大学,硕士,2020年,,82,下载,https://kns.cnki.net//kns8/download?filename=KZXYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQu9yc4MzUOJjMyp3d5oEaO5kZxo2SFlVaxJUWEtiR14GUaFVbkVDT1cGaVBjUExWaYhnV3YnbaNjZIJET&tablename=CMFD202101
782,基于首要教学原理的高中数学教学设计研究,邵青梅,福建师范大学,硕士,2020年,,8,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0zd4NHONhkUOBHeWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
783,基于STEM教育理念的中学数学教学研究,许燕婷,福建师范大学,硕士,2020年,,23,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TTGRTMjN0VRJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
784,基于数学核心素养的指、对数函数教学现状及策略研究,王艳芳,福建师范大学,硕士,2020年,,17,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0DM4NVN0JHWRJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
785,基于精致理论的导数单元教学设计,黄淑钦,福建师范大学,硕士,2020年,,26,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0DOwd1Qrh2dlJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
786,新高考背景下高考数学试卷的比较研究,蔡佳佳,福建师范大学,硕士,2020年,,25,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TV3sGMMlWOmJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
787,高中生数学运算素养的培养策略研究,林志文,福建师范大学,硕士,2020年,,7,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0DNaFEcxVldmJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
788,基于变易理论的高中函数教学设计研究,林翠,福建师范大学,硕士,2020年,,10,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0DOaRWRvVEROBHeWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
789,初中数学抽象素养培养的教学设计研究,孙琳琳,福建师范大学,硕士,2020年,,22,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TRkhTb3kUYWJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
790,基于变式理论的高中数学习题编制研究,陈韩,福建师范大学,硕士,2020年,,15,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TStdnS0FXYWJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
791,基于“促进理解模式”的初高中函数衔接教学研究,张翘楚,福建师范大学,硕士,2020年,,7,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TUrl1MTF1VRJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
792,文理不分科视域下圆锥曲线的解题教学研究,李小婉,福建师范大学,硕士,2020年,,15,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0zYPJGVwM2VOBHeWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
793,基于UbD模式下高中函数单调性单元的逆向教学设计,郑嘉佳,福建师范大学,硕士,2020年,,77,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0TV1tCazQ0dlJkMWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
794,基于结构思想的高中数列教学研究,谯可,福建师范大学,硕士,2020年,,12,下载,https://kns.cnki.net//kns8/download?filename=XYrEGc3kjZOpnejtCcHlja2RGe4p2Us9WV1tyYzMEesZWRLJzSQllM3Z1MwM2bQRWVMp3a2NnSThmQ=0DN4smdNtiUOBHeWdkYUVTMvlGaLdlQSREU1dDO6tmNRtSWyp0VVBjUExWaYhnV3YnbaNjZIJETKZ&tablename=CMFDTEMP
